,date,price
0,2016-08-01,110.82140957446808
1,2016-08-02,109.62159090909091
2,2016-08-03,108.22203821656052
3,2016-08-04,106.4639606396064
4,2016-08-05,105.74528650646951
5,2016-08-06,104.76282051282051
6,2016-08-07,105.73542319749215
7,2016-08-08,160.0036496350365
8,2016-08-09,104.81026490066226
9,2016-08-10,105.91717451523546
10,2016-08-11,104.49304750869061
11,2016-08-12,104.36182266009853
12,2016-08-13,105.5204081632653
13,2016-08-14,104.81600000000002
14,2016-08-15,101.84196787148595
15,2016-08-16,107.0542
16,2016-08-17,114.97148014440434
17,2016-08-18,119.34069343065694
18,2016-08-19,121.28471698113208
19,2016-08-20,121.07070707070707
20,2016-08-21,122.50809061488673
21,2016-08-22,120.48115384615386
22,2016-08-23,121.0695356738392
23,2016-08-24,119.55594660194176
24,2016-08-25,118.57207792207794
25,2016-08-26,116.3644859813084
26,2016-08-27,115.17775119617225
27,2016-08-28,113.51802325581396
28,2016-08-29,112.07955689828802
29,2016-08-30,110.67118093174432
30,2016-08-31,110.52045454545456
31,2016-09-01,107.32549234135668
32,2016-09-02,107.15081632653062
33,2016-09-03,109.33508771929824
34,2016-09-04,105.74259927797834
35,2016-09-05,106.073630831643
36,2016-09-06,105.62176258992807
37,2016-09-07,116.10068610634647
38,2016-09-08,123.4626201923077
39,2016-09-09,124.84413793103448
40,2016-09-10,125.20894941634242
41,2016-09-11,123.68780952380953
42,2016-09-12,120.82515723270441
43,2016-09-13,119.90035555555555
44,2016-09-14,119.0495145631068
45,2016-09-15,117.31015625
46,2016-09-16,116.5020325203252
47,2016-09-17,114.04163424124513
48,2016-09-18,113.89435797665371
49,2016-09-19,112.58258283772304
50,2016-09-20,110.05715695952617
51,2016-09-21,108.85272727272728
52,2016-09-22,111.3938242280285
53,2016-09-23,123.63568345323742
54,2016-09-24,122.60728744939271
55,2016-09-25,124.23289473684211
56,2016-09-26,124.28977505112475
57,2016-09-27,123.45286458333334
58,2016-09-28,123.30140845070423
59,2016-09-29,122.34771689497718
60,2016-09-30,123.55673758865248
61,2016-10-01,121.7441767068273
62,2016-10-02,122.26997578692495
63,2016-10-03,120.59583975346686
64,2016-10-04,120.89460285132382
65,2016-10-05,118.93003533568906
66,2016-10-06,117.67352941176472
67,2016-10-07,115.93660834454914
68,2016-10-08,111.1486268174475
69,2016-10-09,109.95772113943029
70,2016-10-10,109.72822966507178
71,2016-10-11,110.05868902439025
72,2016-10-12,112.38937908496733
73,2016-10-13,124.96918489065607
74,2016-10-14,125.65352697095436
75,2016-10-15,125.68051948051948
76,2016-10-16,126.05173410404625
77,2016-10-17,125.42182410423453
78,2016-10-18,123.58964941569282
79,2016-10-19,122.34786931818184
80,2016-10-20,120.7525900900901
81,2016-10-21,118.62910891089109
82,2016-10-22,117.82838283828383
83,2016-10-23,117.84733727810651
84,2016-10-24,117.20405117270789
85,2016-10-25,116.11648351648353
86,2016-10-26,115.3235924932976
87,2016-10-27,118.37447795823667
88,2016-10-28,121.79507042253522
89,2016-10-29,129.71912832929783
90,2016-10-30,132.56122881355932
91,2016-10-31,129.55864485981309
92,2016-11-01,128.3306049822064
93,2016-11-02,130.2607142857143
94,2016-11-03,128.53473282442746
95,2016-11-04,128.40966010733453
96,2016-11-05,128.0371517027864
97,2016-11-06,126.14360189573459
98,2016-11-07,125.69911504424779
99,2016-11-08,124.26503378378379
100,2016-11-09,123.08455538221529
101,2016-11-10,120.62521440823328
102,2016-11-11,120.13733075435204
103,2016-11-12,120.65913621262459
104,2016-11-13,119.8491891891892
105,2016-11-14,118.4930817610063
106,2016-11-15,116.99724517906336
107,2016-11-16,115.51420256111757
108,2016-11-17,114.15046728971963
109,2016-11-18,115.7148
110,2016-11-19,113.18397435897437
111,2016-11-20,113.24791666666667
112,2016-11-21,112.85152979066024
113,2016-11-22,113.26003344481606
114,2016-11-23,111.68769898697539
115,2016-11-24,117.0813559322034
116,2016-11-25,119.31092783505156
117,2016-11-26,119.71754385964913
118,2016-11-27,119.3470238095238
119,2016-11-28,115.12425595238095
120,2016-11-29,112.87381489841987
121,2016-11-30,115.30897097625329
122,2016-12-01,113.0913407821229
123,2016-12-02,126.86782786885246
124,2016-12-03,126.09302325581395
125,2016-12-04,125.4206008583691
126,2016-12-05,126.42795698924732
127,2016-12-06,128.59502617801047
128,2016-12-07,127.73993288590604
129,2016-12-08,128.58864353312302
130,2016-12-09,128.40744680851066
131,2016-12-10,127.52956521739132
132,2016-12-11,125.587012987013
133,2016-12-12,128.7443820224719
134,2016-12-13,129.14676966292134
135,2016-12-14,127.59570707070708
136,2016-12-15,127.7163594470046
137,2016-12-16,127.30885167464115
138,2016-12-17,126.77166666666668
139,2016-12-18,126.26
140,2016-12-19,126.39112149532711
141,2016-12-20,126.13880952380953
142,2016-12-21,127.0672549019608
143,2016-12-22,126.16686626746507
144,2016-12-23,126.71947852760736
145,2016-12-24,124.61801801801802
146,2016-12-25,123.19607843137256
147,2016-12-26,122.99629629629631
148,2016-12-27,122.73931888544892
149,2016-12-28,122.79502074688797
150,2016-12-29,123.9542735042735
151,2016-12-30,124.63989071038253
152,2016-12-31,122.9409090909091
153,2017-01-01,122.60000000000001
154,2017-01-02,123.9867469879518
155,2017-01-03,122.70148883374691
156,2017-01-04,132.16666666666666
157,2017-01-05,137.70014771048744
158,2017-01-06,134.5013888888889
159,2017-01-07,137.42226720647776
160,2017-01-08,137.98805031446543
161,2017-01-09,139.6318114874816
162,2017-01-10,141.0288084464555
163,2017-01-11,140.69492385786802
164,2017-01-12,139.5083172147002
